learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12845594655267698,0.8949360866652324,
0.04,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.2504698703306645,0.6005557925945437,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1525799875085783,0.8517685708899239,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.14340859644413315,0.8690530111004551,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12735557939028022,0.8967283543547566,
0.05,7900.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12675827116791127,0.8976947878551608,
0.05,1500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1624946374440295,0.8318785170603706,
0.05,1500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.17762820954522895,0.7991050489182137,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13990931496951198,0.8753654626076409,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1437747351512935,0.8683835119676484,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13847739320036445,0.8779035871757522,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13847739320036445,0.8779035871757522,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.15421905544397727,0.8485667568799895,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.15421905544397727,0.8485667568799895,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.6610855394562857,-1.7826620218743765,
0.1,3500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13142335672635716,0.8900259404956073,
0.1,2800.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.3897709894166233,-0.0051117443341563975,
0.1,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.390268530813014,-0.007679425832454846,
0.1,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1026408774283652,0.9302994770648554,
0.05,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13551929219248093,0.8830642258676283,
0.1,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.3045504064652743,0.4094407006262091,
0.1,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12479316156754948,0.900842236975298,
0.001,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,14.2469121385816,-1291.3693142617956,
0.005,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.7104451319060278,-2.2137066479090763,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12965225906725322,0.8929700500438831,
0.1,12500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.14222251889986934,0.8712100786478045,
0.1,11500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12600030930088746,0.8989146153277842,
0.05,11500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12400776495580465,0.9020864254165936,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1478863739055548,0.8607479919611186,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.10561048923936754,0.9262079741344074,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13109868592037516,0.8905686334203684,
0.01,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,2.3656559557942898,-34.63266575400558,
0.1,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13586873833711746,0.8824603939180811,
0.1,11000.0,0.005,0.005,0.0,16.0,8.0,4.0,403.0,0.1324215569139444,0.8883490236821454,
0.05,13000.0,0.005,0.005,0.0,16.0,8.0,4.0,403.0,0.1261240549723607,0.8987159646832757,
0.1,23000.0,0.005,0.005,0.0,16.0,8.0,4.0,403.0,0.12394491856985933,0.9021856442843446,
0.1,23000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.32121095876428635,0.34305977774693985,
0.05,23000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12670533059335554,0.8977802255255405,
0.05,23000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12670533059335554,0.8977802255255405,
0.05,23000.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.17348357762113714,0.8083707123966045,
0.05,23000.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.3963622397686042,-0.0002986747075564012,
0.1,23000.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.3963683901397242,-0.0003297183095702927,
0.1,17000.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.39636214093507294,-0.0002981758556068748,
0.001,3000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,2.6549602441797107,-43.88086206787408,
0.001,3000.0,0.05,0.0,0.0,16.0,8.0,4.0,403.0,7.177147292818277,-326.9811346124309,
0.1,3000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12469231127903638,0.9010024388349208,
0.1,3000.0,0.01,0.0,0.0,16.0,8.0,4.0,403.0,0.12671980475921246,0.8977568700681097,
0.1,13000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.3963622397686042,-0.0002986747075564012,
0.1,2500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.13604906006426762,0.8821481953984258,
0.1,3000.0,0.1,0.1,0.0,16.0,8.0,4.0,403.0,0.1273604963416764,0.8967203799657758,
0.1,4000.0,0.1,0.1,0.0,16.0,8.0,4.0,403.0,0.2604548842365844,0.5680731940471814,
0.1,3500.0,0.1,0.01,0.0,16.0,8.0,4.0,403.0,0.14619485841976276,0.8639152863644376,
0.1,3500.0,0.1,0.001,0.0,16.0,8.0,4.0,403.0,0.3963699576990312,-0.00033763054121993536,
0.1,3500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1133791362142448,0.9149524881404604,
0.1,3500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.11793369827487404,0.9079823452860208,
0.1,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.11148450231695713,0.91777112976645,
0.1,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.10691856593748808,0.9243686983826928,
0.05,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1191654997562484,0.9060500827588472,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.37677158178244,0.06081401886611273,
0.1,3500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1077876729298878,0.9231341354514159,
0.05,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1220246547851354,0.9014876906796464,
0.1,7600.0,0.005,0.005,0.0,16.0,8.0,4.0,403.0,0.3897705813939948,-0.005109639979895332,
0.1,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.10970533080678298,0.9203747539758416,
0.1,7600.0,0.1,0.005,0.005,200.0,100.0,30.0,403.0,0.3896761729994823,-0.004622793101506817,
0.1,9600.0,0.0,0.0,0.0,200.0,100.0,30.0,403.0,0.3898252327117129,-0.005391520757549673,
0.1,3600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,1.7647924193020734,-19.605472784252065,
0.1,7600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.3897741203666522,-0.005127892110003529,
0.1,17600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.3897724181539784,-0.005119112985831453,
0.1,15600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.14946347002388344,0.8522030587261555,
0.1,15600.0,0.1,0.0,0.0,32.0,16.0,8.0,403.0,0.389750488738387,-0.005006015939117203,
0.1,3600.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.10463272405152464,0.9275680147582092,
0.1,7500.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.10543347579785747,0.926455132040912,
0.1,7500.0,0.01,0.0,0.0,1.0,0.0,0.0,403.0,0.10446317464149957,0.9278025656680164,
