learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4,beta4
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12845594655267698,0.8949360866652321,,
0.04,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.250469870330664,0.600555792594544,,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.152579987508578,0.851768570889924,,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.143408596444133,0.869053011100455,,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12735557939028,0.8967283543547571,,
0.05,7900.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.126758271167911,0.8976947878551609,,
0.05,1500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.16249463744402998,0.8318785170603711,,
0.05,1500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.17762820954522895,0.7991050489182141,,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.139909314969512,0.8753654626076409,,
0.05,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.143774735151293,0.868383511967648,,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.138477393200364,0.8779035871757521,,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.138477393200364,0.8779035871757521,,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.154219055443977,0.8485667568799891,,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.154219055443977,0.8485667568799891,,
0.01,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.661085539456286,-1.7826620218743798,,
0.1,3500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.131423356726357,0.8900259404956071,,
0.1,2800.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.38977098941662297,-0.005111744334156,,
0.1,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.390268530813014,-0.007679425832455,,
0.1,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.10264087742836504,0.9302994770648548,,
0.05,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13551929219248102,0.8830642258676279,,
0.1,2500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.304550406465274,0.409440700626209,,
0.1,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12479316156755,0.900842236975298,,
0.001,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,14.2469121385816,-1291.3693142618,,
0.005,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.710445131906028,-2.21370664790908,,
0.1,7500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.129652259067253,0.8929700500438829,,
0.1,12500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.14222251889986906,0.871210078647805,,
0.1,11500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.126000309300887,0.8989146153277842,,
0.05,11500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.124007764955805,0.902086425416594,,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.14788637390555498,0.8607479919611191,,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.105610489239368,0.926207974134407,,
0.05,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.13109868592037502,0.890568633420368,,
0.01,11000.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,2.36565595579429,-34.6326657540056,,
